Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
376;Josh Okogie;SG;25;PHO;54;11;17.1;1.5;3.7;0.417;0.5;1.7;0.297;1;2;0.519;0.485;1.4;1.9;0.74;1.3;1.4;2.7;1.1;0.9;0.4;0.6;1.2;4.9
377;Onyeka Okongwu;C;23;ATL;53;8;25.8;4;6.6;0.61;0.4;1.2;0.338;3.6;5.4;0.671;0.641;1.7;2.2;0.8;2.7;4.3;7;1.3;0.4;1.1;0.8;3;10.2
378;Isaac Okoro;SF;23;CLE;57;34;27.2;3.5;7.1;0.498;1.2;3.1;0.399;2.3;4;0.575;0.585;1.4;2.1;0.686;1.1;2.1;3.2;2;0.9;0.5;0.8;2.1;9.7
379;Kelly Olynyk;C;32;TOT;65;14;21.2;3.2;5.9;0.543;0.8;1.9;0.4;2.4;4;0.612;0.608;1.8;2.2;0.821;1.4;3.7;5.1;4.2;0.9;0.4;1.7;2.8;9
379;Kelly Olynyk;C;32;UTA;50;8;20.4;2.9;5.2;0.562;0.7;1.7;0.429;2.2;3.5;0.626;0.632;1.6;1.9;0.842;1.3;3.8;5.1;4.4;0.7;0.2;1.6;2.6;8.1
379;Kelly Olynyk;C;32;TOR;15;6;24;4.3;8.5;0.504;0.9;2.7;0.341;3.3;5.7;0.581;0.559;2.3;3;0.778;1.7;3.3;5;3.7;1.5;0.7;1.9;3.4;11.8
380;Eugene Omoruyi;SF;26;WAS;34;0;7.4;1.7;3.4;0.491;0.2;0.8;0.222;1.5;2.6;0.573;0.517;0.7;1;0.727;0.8;1.2;2;0.7;0.6;0;0.5;1.4;4.2
381;Cedi Osman;SF;28;SAS;63;1;17.4;2.5;5.3;0.474;1.1;3;0.374;1.4;2.3;0.608;0.581;0.5;0.8;0.68;0.4;2.1;2.5;1.7;0.5;0.1;0.7;1.5;6.7
382;Kelly Oubre Jr.;SF;28;PHI;53;37;29.4;5.4;12.2;0.443;1.4;4.6;0.302;4;7.6;0.527;0.499;2.4;3.3;0.731;1.3;3.3;4.7;1.2;1.1;0.5;1.1;3;14.5
383;Chris Paul;PG;38;GSW;41;14;27.1;3.4;8;0.43;1.4;3.8;0.372;2;4.2;0.483;0.518;1;1.2;0.833;0.3;3.5;3.9;7;1.3;0.1;1.1;1.8;9.3
384;Cameron Payne;PG;29;TOT;62;6;16.3;2.6;5.9;0.438;1.2;3.2;0.379;1.4;2.7;0.509;0.541;0.9;1;0.862;0.2;1.2;1.4;2.5;0.5;0.1;0.8;1.6;7.2
384;Cameron Payne;PG;29;MIL;47;2;14.9;2.1;4.7;0.455;1.1;2.8;0.397;1;1.9;0.538;0.572;0.8;0.9;0.841;0.1;1.2;1.3;2.3;0.5;0.1;0.7;1.6;6.2
384;Cameron Payne;PG;29;PHI;15;4;20.5;3.9;9.4;0.411;1.5;4.5;0.343;2.3;4.9;0.473;0.493;1.3;1.4;0.905;0.5;1;1.5;3.1;0.4;0.3;1.1;1.9;10.5
385;Gary Payton II;SG;31;GSW;30;0;15.5;2.3;4.3;0.523;0.5;1.4;0.333;1.8;2.9;0.614;0.577;0.3;0.5;0.643;1.2;1.7;2.9;1;1;0.3;0.6;1.6;5.3
386;Drew Peterson;PF;24;BOS;1;0;3;1;1;1;1;1;1;0;0;0;1.5;0;0;0;0;0;0;1;0;0;0;1;3
387;Filip Petrušev;C;23;TOT;3;0;3.3;0.3;0.7;0.5;0;0;0;0.3;0.7;0.5;0.5;0.3;0.7;0.5;0;0.3;0.3;0;0;0;0;0.3;1
387;Filip Petrušev;C;23;PHI;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
387;Filip Petrušev;C;23;SAC;2;0;3.5;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;0.5;1;0.5;0;0;0;0;0;0;0;0.5;1.5
388;Julian Phillips;SF;20;CHI;40;0;8.1;0.8;1.9;0.416;0.3;1;0.316;0.5;1;0.513;0.494;0.3;0.5;0.684;0.3;0.6;0.9;0.3;0.2;0.2;0.3;1;2.2
389;Jalen Pickett;SG;24;DEN;21;0;5.1;0.6;1.4;0.4;0.3;1;0.318;0.2;0.4;0.625;0.517;0.1;0.2;0.75;0;0.5;0.5;0.7;0.1;0;0.4;0.5;1.6
390;Scotty Pippen Jr.;PG;23;MEM;9;5;23.1;3.6;7.4;0.478;1.4;2.8;0.52;2.1;4.7;0.452;0.575;1.8;2.6;0.696;1;2.4;3.4;5.1;1.1;0.6;2;2.6;10.3
391;Mason Plumlee;C;33;LAC;32;9;15.5;2.1;3.3;0.632;0;0;0;2.1;3.3;0.638;0.632;1.5;2.3;0.671;1.3;4;5.4;1.2;0.3;0.4;0.8;1.5;5.7
392;Brandin Podziemski;SG;20;GSW;57;22;27;3.8;8.5;0.449;1.3;3.4;0.378;2.5;5.1;0.495;0.524;0.8;1.3;0.616;1.5;4.2;5.8;4;0.9;0.2;1.3;1.7;9.7
393;Jakob Poeltl;C;28;TOR;50;50;26.4;5;7.6;0.656;0;0;0;5;7.6;0.656;0.656;1.2;2.1;0.551;2.9;5.7;8.6;2.5;0.7;1.5;1.5;3;11.1
394;Aleksej Pokusevski;PF;22;TOT;14;0;8.6;0.9;2.6;0.361;0.3;1.3;0.222;0.6;1.3;0.5;0.417;0.3;0.4;0.667;0.4;1.2;1.6;0.9;0.3;0.4;0.5;0.6;2.4
394;Aleksej Pokusevski;PF;22;OKC;10;0;6;0.4;1.6;0.25;0.2;1.1;0.182;0.2;0.5;0.4;0.313;0.2;0.4;0.5;0.2;0.8;1;0.5;0.1;0.1;0.3;0.5;1.2
394;Aleksej Pokusevski;PF;22;CHO;4;0;15.3;2.3;5;0.45;0.5;1.8;0.286;1.8;3.3;0.538;0.5;0.5;0.5;1;1;2.3;3.3;2;0.8;1.3;1;0.8;5.5
395;Jordan Poole;SG;24;WAS;64;52;29.3;6;14.6;0.407;2.2;6.9;0.319;3.8;7.7;0.487;0.483;2.4;2.8;0.862;0.4;2.2;2.6;3.8;1.1;0.4;2.3;3.3;16.5
396;Craig Porter Jr.;PG;23;CLE;42;5;13.6;2.5;4.9;0.515;0.3;0.7;0.379;2.3;4.2;0.537;0.541;0.9;1.2;0.725;0.5;1.9;2.3;2.5;0.5;0.3;1;0.9;6.2
397;Jontay Porter;PF;24;TOR;23;5;13.7;1.6;4.1;0.379;0.8;2.4;0.339;0.7;1.7;0.436;0.479;0.6;0.7;0.813;0.8;2.2;3;2.1;0.7;0.8;0.7;1.5;4.5
398;Michael Porter Jr.;SF;25;DEN;66;66;31.6;6.4;13.3;0.486;2.8;6.9;0.399;3.7;6.3;0.58;0.59;1;1.3;0.819;1.3;5.7;7;1.5;0.5;0.7;1.1;1.9;16.7
399;Otto Porter Jr.;SF;30;TOR;15;1;11.6;0.9;2.2;0.424;0.5;1.5;0.348;0.4;0.7;0.6;0.545;0.2;0.2;1;0.4;1.5;1.9;0.5;0.3;0.3;0.1;1.3;2.6
400;Bobby Portis;PF;28;MIL;67;1;24;5.3;10.7;0.5;1.1;3;0.378;4.2;7.7;0.548;0.553;1.3;1.7;0.793;1.6;5.5;7;1.2;0.7;0.4;1;2.3;13.1
401;Kristaps Porzi??is;C;28;BOS;46;46;29.8;6.8;13.2;0.52;2;5.2;0.375;4.9;8;0.615;0.594;4.8;5.6;0.859;1.6;5.4;7;2;0.6;1.8;1.6;2.7;20.4
402;Micah Potter;PF;25;UTA;4;0;8.5;1.8;2;0.875;1;1.3;0.8;0.8;0.8;1;1.125;0.3;0.3;1;0.3;1.8;2;0.3;0;0;0;0.5;4.8
403;Dwight Powell;C;32;DAL;54;8;14;1.3;1.8;0.694;0;0;0.5;1.2;1.8;0.698;0.699;1.1;1.6;0.726;1.6;1.9;3.4;1.4;0.4;0.4;0.5;1.9;3.7
404;Norman Powell;SG;30;LAC;65;1;26;4.9;10.1;0.489;2.2;5.1;0.435;2.7;5;0.543;0.598;1.8;2.2;0.826;0.2;2.4;2.6;1.1;0.6;0.3;0.9;1.9;13.9
405;Jason Preston;PG;24;UTA;2;0;7;0.5;1.5;0.333;0;0;0;0.5;1.5;0.333;0.333;0;0;0;1;0.5;1.5;1;0;0;1;0.5;1
406;Joshua Primo;SG;21;LAC;2;0;5;0.5;1.5;0.333;0;0.5;0;0.5;1;0.5;0.333;0;0;0;0.5;0;0.5;0;0;0.5;2;0;1
407;Taurean Prince;PF;29;LAL;64;49;28.3;3.3;7.5;0.44;1.9;4.8;0.389;1.4;2.7;0.529;0.564;0.6;0.9;0.727;0.2;2.7;3;1.6;0.8;0.5;0.9;2;9.1
408;Payton Pritchard;PG;26;BOS;66;1;20.5;2.9;6.6;0.438;1.7;4.4;0.377;1.3;2.3;0.557;0.563;0.5;0.6;0.821;0.8;2.3;3.2;2.7;0.4;0.1;0.7;1.2;8
409;Olivier-Maxence Prosper;PF;21;DAL;33;0;7.9;0.8;2.2;0.351;0.2;1;0.235;0.5;1.2;0.45;0.405;0.7;1;0.676;0.5;1.3;1.9;0.6;0.2;0.1;0.2;0.5;2.5
410;Trevelin Queen;SG;26;ORL;13;0;12.5;1.1;2.9;0.368;0.2;1.3;0.176;0.8;1.6;0.524;0.408;0.7;0.9;0.75;0.2;1.2;1.5;1.4;0.5;0.4;0.5;1.2;3.1
411;Neemias Queta;C;24;BOS;24;0;11.9;2;3.4;0.605;0;0;0;2;3.4;0.605;0.605;0.7;0.9;0.727;1.9;2.4;4.3;0.5;0.4;0.6;0.4;1.9;4.8
412;Immanuel Quickley;PG-SG;24;TOT;61;31;28.9;5.6;12.9;0.435;2.5;6.2;0.403;3.1;6.7;0.466;0.532;2.7;3.3;0.83;0.2;3.4;3.6;4.6;0.7;0.1;1.3;1.7;16.5
412;Immanuel Quickley;SG;24;NYK;30;0;24;5.1;11.2;0.454;2.1;5.4;0.395;2.9;5.8;0.509;0.549;2.7;3.1;0.872;0.2;2.4;2.6;2.5;0.5;0.1;1;1.5;15
412;Immanuel Quickley;PG;24;TOR;31;31;33.6;6.2;14.6;0.422;2.9;7;0.408;3.3;7.6;0.434;0.52;2.7;3.4;0.792;0.3;4.3;4.6;6.7;0.9;0.2;1.6;1.8;17.9
413;Lester Quinones;SG;23;GSW;30;0;11.9;1.6;4;0.395;0.9;2.4;0.356;0.7;1.5;0.457;0.504;0.6;0.8;0.68;0.7;1.6;2.2;1;0.2;0.1;0.5;1.4;4.6
414;Jahmi'us Ramsey;SG;22;TOR;3;0;14.3;1.7;5;0.333;0.3;2.3;0.143;1.3;2.7;0.5;0.367;1.7;2;0.833;1;3.7;4.7;0.7;0.7;0;0;1;5.3
